revenue,operating_expenses,operating_profit,depreciation,interest,profit_before_tax,tax,net_profit,profit_TTM
318.5,211.8,48.8,12.2,2.4,92.1,20.3,71.8,314.1
745.6,597.0,135.4,12.3,1.2,135.1,31.1,104.2,326.9
1246.5,1018.9,194.5,19.9,0.8,206.8,53.6,153.3,671.4
1129.9,941.9,179.7,36.1,4.3,147.7,36.6,108.0,397.8
4530.0,4148.0,370.0,113.0,137.0,132.0,42.0,89.0,478.0
1978.6,1683.3,273.2,47.4,7.6,240.3,64.8,177.2,1118.8
2336.0,616.4,637.9,0.0,1081.7,511.5,133.1,378.4,1364.2
4514.9,4224.7,274.3,46.5,177.8,65.8,9.9,55.8,187.9
21559.5,9681.0,6343.0,0.0,5535.5,5888.3,1465.5,4461.0,17172.7
3482.1,935.3,1882.4,28.3,1324.9,797.4,203.2,595.1,2080.8
2427.7,1910.9,475.6,68.1,12.6,436.1,120.2,315.4,1239.7
6765.9,250.6,6095.7,13.2,4599.9,1483.0,291.2,1193.5,4164.5
1355.5,1184.5,136.0,23.6,0.0,147.4,32.3,115.1,416.0
1226.2,1036.6,187.9,93.4,42.4,53.9,14.6,37.0,367.8
5079.0,4120.8,917.8,247.8,80.6,629.7,134.3,489.5,1331.2
-167.2,-180.1,-30.4,0.8,1.1,12.1,1.5,52.0,174.1
6287.8,5060.2,1156.9,351.5,85.5,790.6,203.9,586.7,1690.9
1772.7,1250.1,478.9,65.8,2.5,454.3,115.8,338.5,1147.8
3863.5,1077.5,2109.3,67.1,1703.4,369.1,96.0,281.1,1982.5
35027.2,28705.9,5729.6,1138.6,1835.2,3347.5,1083.7,2347.8,11169.4
672.2,519.3,136.0,83.8,33.3,35.8,14.0,21.3,66.0
2174.0,555.6,1481.3,62.5,689.4,746.7,186.1,558.4,1859.8
22904.7,20705.6,2138.2,296.0,311.2,1592.0,546.2,1051.7,3784.9
2514.0,1979.0,497.0,39.0,20.0,476.0,116.0,353.0,1410.0
37902.1,32282.5,4790.3,794.4,35.1,4790.1,1083.8,3764.3,11351.8
10189.1,10024.6,143.9,0.8,9.4,158.2,-12.1,147.9,506.4
3630.2,3219.8,401.6,125.4,27.2,257.9,73.3,225.0,742.4
1650.7,724.1,904.5,17.3,241.1,657.6,124.2,531.2,1449.3
3325.5,2680.9,595.6,89.0,34.0,521.7,129.7,391.9,1605.6
3631.9,723.4,2801.6,22.2,1335.0,1470.2,374.9,1059.6,3982.9
1060.8,573.4,458.0,43.6,4.2,439.6,70.6,369.0,1127.4
2129.1,1957.7,95.5,1.3,0.0,104.6,22.9,79.6,332.2
4746.4,4415.9,303.7,53.2,153.5,123.8,38.8,77.3,599.4
3113.8,1173.9,1757.4,294.9,104.8,1618.3,-75.0,1545.8,3897.8
2285.1,1935.3,340.9,77.2,31.9,240.7,52.8,187.9,696.2
3234.0,2143.0,834.6,455.1,213.9,1700.6,614.7,1084.7,1912.3
45384.6,32303.2,12680.2,4037.7,2920.5,6342.9,2019.7,4614.6,19125.2
1323.6,997.1,308.1,55.3,22.9,248.4,21.7,226.6,737.5
3112.0,2646.9,396.5,186.2,4.0,275.0,68.7,187.3,1272.4
494.9,373.4,98.3,24.2,20.0,77.2,16.6,60.6,365.0
1243.8,579.2,638.2,11.3,56.5,596.8,142.1,456.8,1961.3
149388.5,118618.4,28255.3,6698.1,2603.3,21564.9,5633.6,13734.1,43072.5
9200.1,5293.3,3523.2,499.0,278.9,762.0,67.6,420.7,5874.5
1509.6,886.4,558.1,19.0,8.0,596.2,178.8,417.4,1835.1
2163.8,1565.5,551.4,80.3,7.8,510.2,31.7,480.5,1495.8
1779.4,158.8,1574.1,11.3,1057.3,507.1,124.1,383.0,1278.7
1932.4,1511.6,399.8,40.9,161.3,218.6,70.7,147.9,614.3
2023.7,1293.1,706.8,308.6,200.3,221.7,55.5,166.3,-232.5
1126.8,891.6,233.5,24.6,11.2,199.4,49.1,150.3,510.7
2449.0,2006.5,405.2,74.4,12.3,355.8,92.5,263.3,981.5
12686.2,11317.9,1214.7,194.8,74.7,1098.8,283.9,855.7,3490.3
611.3,392.6,182.6,15.4,2.7,200.5,51.6,149.0,522.8
906.6,361.2,506.0,65.9,96.5,375.2,71.4,252.6,923.6
3107.6,2396.3,679.7,75.2,13.1,623.0,163.1,450.1,1505.5
22403.7,315.4,22941.9,12.7,14313.1,8628.8,2000.6,4833.1,17946.4
11530.4,1358.7,9908.4,3277.0,2341.3,4393.4,573.7,3781.4,15344.4
3256.0,1643.9,592.5,174.1,263.9,1174.1,256.4,850.9,1714.0
1846.0,1745.4,92.4,95.2,43.5,210.0,30.4,182.7,154.2
1154.1,853.5,284.9,14.3,1.9,284.5,73.8,210.7,734.4
29857.0,6798.1,6239.1,0.0,16819.8,2778.3,1013.8,1990.2,5904.8
4763.5,4584.8,163.6,69.7,28.1,79.3,8.3,71.9,240.9
3720.6,1422.6,765.4,0.0,1532.6,125.0,-206.1,331.1,1173.9
